symbol,Z,Z_c,n,l,term,E_calc_H,E_calc_eV,E_NIST_H,diff_cm-1,xi_nl_H,n_nodes,converged,method,fit_loss
H,1,1,1,0,1s,-0.49997999,-13.60514875,-0.49973500,-53.77013459,8.292974e-04,0,True,hydrogen_coulomb,
H,1,1,2,0,2s,-0.12499750,-3.40135518,-0.12473500,-57.61152994,9.863816e-05,1,True,hydrogen_coulomb,
H,1,1,2,1,2p,-0.12500000,-3.40142328,-0.12473500,-58.16077632,1.109403e-06,0,True,hydrogen_coulomb,
Li,3,1,2,0,2s,-0.19812850,-5.39135115,-0.19814200,2.96283248,0.00139882,1,True,tabulated,
Li,3,1,2,1,2p,-0.13023537,-3.54388503,-0.13023500,-0.08180641,3.099033e-06,0,True,tabulated,
Li,3,1,3,0,3s,-0.07417752,-2.01847317,-0.07417300,-0.99219547,3.020266e-04,2,True,tabulated,
Li,3,1,3,1,3p,-0.05723594,-1.55746935,-0.05722800,-1.74328629,9.814166e-07,1,True,tabulated,
Li,3,1,3,2,3d,-0.05560593,-1.51311456,-0.05559800,-1.74139096,6.752205e-08,0,True,tabulated,
Na,11,1,3,0,3s,-0.18880659,-5.13768903,-0.18885800,11.28331374,0.01387768,2,True,tabulated,
Na,11,1,3,1,3p,-0.11156115,-3.03573364,-0.11154800,-2.88690289,7.394524e-05,1,True,tabulated,
Na,11,1,3,2,3d,-0.05593700,-1.52212337,-0.05593400,-0.65892659,8.856013e-08,0,True,tabulated,
Na,11,1,4,0,4s,-0.07156660,-1.94742646,-0.07157900,2.72097753,0.00298973,3,True,tabulated,
Na,11,1,4,1,4p,-0.05093967,-1.38613897,-0.05095200,2.70661709,2.329644e-05,2,True,tabulated,
Na,11,1,4,2,4d,-0.03144307,-0.85560944,-0.03144700,0.86321119,4.082242e-08,1,True,tabulated,
Na,11,1,4,3,4f,-0.03126166,-0.85067302,-0.03126500,0.73371192,1.028469e-08,0,True,tabulated,
K,19,1,4,0,4s,-0.16000888,-4.35406337,-0.15951700,-107.95466515,0.02643028,3,True,nist_refit,3.583e-05
K,19,1,4,1,4p,-0.10072811,-2.74095144,-0.10017700,-120.95410341,3.621027e-04,2,True,nist_refit,2.252e-05
K,19,1,4,2,4d,-0.03460019,-0.94151903,-0.03444200,-34.71788563,2.580013e-06,1,True,nist_refit,3.069e-08
K,19,1,4,3,4f,-0.03468300,-0.94377251,-0.03468300,0.000000e+00,3.151602e-04,0,True,nist_refit,0.000e+00
K,19,1,5,0,5s,-0.06399630,-1.74142811,-0.06371300,-62.17772366,0.00611197,4,True,nist_refit,3.583e-05
K,19,1,5,1,5p,-0.04714048,-1.28275783,-0.04688300,-56.51049629,1.143426e-04,3,True,nist_refit,2.252e-05
K,19,1,5,2,5d,-0.02192109,-0.59650334,,,1.531448e-06,2,True,nist_refit,3.069e-08
K,19,1,5,3,5f,-0.01980311,-0.53887014,,,8.683380e-06,2,True,nist_refit,0.000e+00
K,19,1,5,4,5g,-0.02001369,-0.54460014,,,2.388709e-09,0,True,nist_refit,
Rb,37,1,5,0,5s,-0.15391651,-4.18828150,-0.15350700,-89.87621181,0.08758195,4,True,nist_refit,2.148e-05
Rb,37,1,5,1,5p,-0.09553979,-2.59977009,-0.09547100,-15.09734360,7.618044e-04,3,True,nist_refit,4.915e-08
Rb,37,1,5,2,5d,-0.03588686,-0.97653114,-0.03452000,-299.99051852,3.425213e-05,2,True,nist_refit,2.380e-06
Rb,37,1,5,3,5f,-0.01989340,-0.54132687,,,8.686996e-06,2,True,nist_refit,1.549e-11
Rb,37,1,5,4,5g,-0.02002329,-0.54486160,,,2.402554e-09,0,True,nist_refit,
Rb,37,1,6,0,6s,-0.06200022,-1.68711182,-0.06177900,-48.55129457,0.01956787,5,True,nist_refit,2.148e-05
Rb,37,1,6,1,6p,-0.04524124,-1.23107688,-0.04545200,46.25630992,2.453046e-04,4,True,nist_refit,4.915e-08
Rb,37,1,6,2,6d,-0.02249428,-0.61210062,,,1.805895e-05,3,True,nist_refit,2.380e-06
Rb,37,1,6,3,6f,-0.01384067,-0.37662395,,,3.563570e-06,3,True,nist_refit,1.549e-11
Rb,37,1,6,4,6g,-0.01390393,-0.37834508,,,1.396593e-09,1,True,nist_refit,
Rb,37,1,6,5,6h,-0.01389361,-0.37806448,,,7.498793e-10,0,True,nist_refit,
Cs,55,1,6,0,6s,-0.14347211,-3.90407490,-0.14309300,-83.20418807,0.14105273,5,True,nist_refit,1.602e-05
Cs,55,1,6,1,6p,-0.09066532,-2.46712916,-0.09047900,-40.89349755,0.00190213,4,True,nist_refit,2.593e-07
Cs,55,1,6,2,6d,-0.03948831,-1.07453168,-0.03503200,-978.04719460,2.028659e-04,3,True,nist_refit,2.182e-05
Cs,55,1,6,3,6f,-0.01999686,-0.54414228,,,7.221736e-06,2,True,nist_refit,3.121e-15
