Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Reference
"=""4d10.5s""","=""2S""","=""1/2""","=""""","=""0.00000000000""","=""""","=""0""","=""L3466"""
"=""4d10.5p""","=""2P*""","=""1/2""","=""""","=""0.1346490810""","=""""","=""0.0000000006""","=""L12037"""
"=""4d10.5p""","=""2P*""","=""3/2""","=""""","=""0.1388436785""","=""""","=""0.0000000010""","=""L12037"""
"=""4d9.5s2""","=""2D""","=""5/2""","=""""","=""0.13779405010""","=""""","=""0.00000000003""","=""L9025"""
"=""4d9.5s2""","=""2D""","=""3/2""","=""""","=""0.1581696537""","=""""","=""0.0000000005""","=""L12037"""
"=""4d10.6s""","=""2S""","=""1/2""","=""""","=""0.193900073""","=""""","=""0.000000005""","=""L17163"""
"=""4d10.6p""","=""2P*""","=""1/2""","=""""","=""0.220059174""","=""""","=""0.000000009""","=""L17163"""
"=""4d10.6p""","=""2P*""","=""3/2""","=""""","=""0.2209859527""","=""""","=""0.0000000018""","=""L9025"""
"=""4d10.5d""","=""2D""","=""3/2""","=""""","=""0.222093864""","=""""","=""0.000000009""","=""L11755"""
"=""4d10.5d""","=""2D""","=""5/2""","=""""","=""0.222186130""","=""""","=""0.000000009""","=""L11755"""
"=""4d10.7s""","=""2S""","=""1/2""","=""""","=""0.236414408""","=""""","=""0.000000005""","=""L17163"""
"=""4d10.7p""","=""2P*""","=""1/2""","=""""","=""0.246229082""","=""""","=""0.000000009""","=""L17163"""
"=""4d10.7p""","=""2P*""","=""3/2""","=""""","=""0.246593912""","=""""","=""0.000000005""","=""L17163"""
"=""4d10.6d""","=""2D""","=""3/2""","=""""","=""0.246967582""","=""""","=""0.000000009""","=""L15300"""
"=""4d10.6d""","=""2D""","=""5/2""","=""""","=""0.247015173""","=""""","=""0.000000014""","=""L15300"""
"=""4d10.4f""","=""2F*""","=""5/2""","=""""","=""0.246974918""","=""""","=""0.000000009""","=""L17163"""
"=""4d10.4f""","=""2F*""","=""7/2""","=""""","=""0.246974991""","=""""","=""0.000000014""","=""L17163"""
"=""4d10.8s""","=""2S""","=""1/2""","=""""","=""0.253246791""","=""""","=""0.000000014""","=""L15300"""
"=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""""","=""0.256173065""","=""""","=""0.000000018""","=""L11755"""
"=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""","=""""","=""0.266566508""","=""""","=""0.000000023""","=""L11755"""
