Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Reference
"=""5d10.6s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0""","=""1.997""","=""L1336"""
"=""5d9.6s2""","=""2D""","=""5/2""","=""""","=""0.04174139""","=""""","=""""","=""1.192""","=""L1336"""
"=""5d9.6s2""","=""2D""","=""3/2""","=""""","=""0.09766592""","=""""","=""""","=""0.804""","=""L1336"""
"=""5d10.6p""","=""2P*""","=""1/2""","=""""","=""0.17022009""","=""""","=""""","=""0.661""","=""L1336"""
"=""5d10.6p""","=""2P*""","=""3/2""","=""""","=""0.18760534""","=""""","=""""","=""1.334""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4P*""","=""5/2""","=""""","=""0.19211118""","=""""","=""""","=""1.532""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""7/2""","=""""","=""0.20748273""","=""""","=""""","=""1.258""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""""","=""0.21038868""","=""""","=""""","=""1.011""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""5/2""","=""""","=""0.211318""","=""""","=""""","=""""","=""L3466"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""""","=""0.23250475""","=""""","=""""","=""1.372""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""""","=""0.21418162""","=""""","=""""","=""1.422""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""1/2""","=""""","=""0.2423803""","=""""","=""""","=""""","=""L4231"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4F*""","=""9/2""","=""""","=""0.22188053""","=""""","=""""","=""""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4F*""","=""3/2""","=""""","=""0.234583""","=""""","=""""","=""""","=""L3466"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""2D*""","=""3/2""","=""""","=""0.23342803""","=""""","=""""","=""1.064""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""""","=""0.235352""","=""""","=""""","=""1.222""","=""L3466"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2F*""","=""7/2""","=""""","=""0.240584""","=""""","=""""","=""""","=""L3466"""
"=""5d10.7s""","=""2S""","=""1/2""","=""""","=""0.24825300""","=""""","=""""","=""1.995""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""4D*""","=""1/2""","=""""","=""0.253936""","=""""","=""""","=""""","=""L3466"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""4D*""","=""3/2""","=""""","=""0.25563660""","=""""","=""""","=""1.16""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""2F*""","=""5/2""","=""""","=""0.26707763""","=""""","=""""","=""0.984""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""2P*""","=""3/2""","=""""","=""0.26811943""","=""""","=""""","=""""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2F*""","=""5/2""","=""""","=""0.272073""","=""""","=""""","=""""","=""L3466"""
"=""5d10.7p""","=""2P*""","=""1/2""","=""""","=""0.2735298""","=""""","=""""","=""""","=""L4231"""
"=""5d10.7p""","=""2P*""","=""3/2""","=""""","=""0.2766994""","=""""","=""""","=""1.33?""","=""L4231"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""""","=""0.279099""","=""""","=""""","=""1.30""","=""L3466"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""3/2""","=""""","=""0.280503""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6d""","=""2D""","=""3/2""","=""""","=""0.282272""","=""""","=""""","=""0.787""","=""L3466"""
"=""5d10.6d""","=""2D""","=""5/2""","=""""","=""0.282646""","=""""","=""""","=""1.193""","=""L3466"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2P*""","=""3/2""","=""""","=""0.287072""","=""""","=""""","=""""","=""L3466"""
"=""5d10.8s""","=""2S""","=""1/2""","=""""","=""0.294988""","=""""","=""""","=""2.01""","=""L3466"""
"=""5d10.8p""","=""2P*""","=""1/2""","=""""","=""0.303476""","=""""","=""""","=""""","=""L3466"""
"=""5d10.8p""","=""2P*""","=""3/2""","=""""","=""0.304866""","=""""","=""""","=""""","=""L3466"""
"=""5d10.7d""","=""2D""","=""3/2""","=""""","=""0.307413""","=""""","=""""","=""""","=""L3466"""
"=""5d10.7d""","=""2D""","=""5/2""","=""""","=""0.307601""","=""""","=""""","=""""","=""L3466"""
"=""5d10.5f""","=""2F*""","=""7/2""","=""""","=""0.307486""","=""""","=""""","=""""","=""L3466"""
"=""5d10.5f""","=""2F*""","=""5/2""","=""""","=""0.307507""","=""""","=""""","=""""","=""L3466"""
"=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""","=""""","=""0.308972""","=""""","=""""","=""1.423""","=""L3466"""
"=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""","=""""","=""0.313043""","=""""","=""""","=""1.270""","=""L3466"""
"=""5d10.9s""","=""2S""","=""1/2""","=""""","=""0.312931""","=""""","=""""","=""""","=""L3466"""
"=""5d10.8d""","=""2D""","=""3/2""","=""""","=""0.318813""","=""""","=""""","=""""","=""L3466"""
"=""5d10.8d""","=""2D""","=""5/2""","=""""","=""0.318978""","=""""","=""""","=""""","=""L3466"""
"=""5d10.10s""","=""2S""","=""1/2""","=""""","=""0.321756""","=""""","=""""","=""""","=""L3466"""
"=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""","=""""","=""0.321920""","=""""","=""""","=""0.905""","=""L3466"""
"=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""","=""""","=""0.324511""","=""""","=""""","=""""","=""L3466"""
"=""5d10.9d""","=""2D""","=""3/2""","=""""","=""0.325115""","=""""","=""""","=""""","=""L3466"""
"=""5d10.9d""","=""2D""","=""5/2""","=""""","=""0.325233""","=""""","=""""","=""""","=""L3466"""
"=""5d10.11s""","=""2S""","=""1/2""","=""""","=""0.326752""","=""""","=""""","=""""","=""L3466"""
