Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""1s2.2s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.00000005""","="" 100                                            ""","=""L12547"""
"=""1s2.2p""","=""2P*""","=""1/2""","=""""","=""0.22033679""","=""""","=""0.00000005""","="" 100                                            ""","=""L12547"""
"=""1s2.2p""","=""2P*""","=""3/2""","=""""","=""0.22049216""","=""""","=""0.00000005""","="" 100                                            ""","=""L12547"""
"=""1s2.3s""","=""2S""","=""1/2""","=""""","=""0.8210604""","=""""","=""0.000003""","="" 100                                            ""","=""L12547"""
"=""1s2.3p""","=""2P*""","=""1/2""","=""""","=""0.87915049""","=""""","=""0.00000023""","="" 100                                            ""","=""L12547"""
"=""1s2.3p""","=""2P*""","=""3/2""","=""""","=""0.87919610""","=""""","=""0.00000023""","="" 100                                            ""","=""L12547"""
"=""1s2.3d""","=""2D""","=""3/2""","=""""","=""0.8933550""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.3d""","=""2D""","=""5/2""","=""""","=""0.8933683""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.4s""","=""2S""","=""1/2""","=""""","=""1.0830330""","=""""","=""0.0000006""","="" 100                                            ""","=""L12547"""
"=""1s2.4p""","=""2P*""","=""1/2""","=""""","=""1.1064137""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.4p""","=""2P*""","=""3/2""","=""""","=""1.1064315""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.4d""","=""2D""","=""3/2""","=""""","=""1.1123911""","=""""","=""0.0000006""","="" 100                                            ""","=""L12547"""
"=""1s2.4d""","=""2D""","=""5/2""","=""""","=""1.1123967""","=""""","=""0.0000006""","="" 100                                            ""","=""L12547"""
"=""1s2.4f""","=""2F*""","=""5/2""","=""""","=""1.1126531""","=""""","=""0.0000011""","="" 100                                            ""","=""L12547"""
"=""1s2.4f""","=""2F*""","=""7/2""","=""""","=""1.1126559""","=""""","=""0.0000011""","="" 100                                            ""","=""L12547"""
"=""1s2.5s""","=""2S""","=""1/2""","=""""","=""1.1990442""","=""""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.5p""","=""2P*""","=""1/2""","=""""","=""1.2107168""","=""""","=""0.0000010""","="" 100                                            ""","=""L12547"""
"=""1s2.5p""","=""2P*""","=""3/2""","=""""","=""1.2107265""","=""""","=""0.0000010""","="" 100                                            ""","=""L12547"""
"=""1s2.5d""","=""2D""","=""3/2""","=""""","=""1.2137683""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.5d""","=""2D""","=""5/2""","=""""","=""1.2137712""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.5f""","=""2F*""","=""5/2""","=""""","=""1.2139097""","=""""","=""0.0000010""","="" 100                                            ""","=""L12547"""
"=""1s2.5f""","=""2F*""","=""7/2""","=""""","=""1.2139111""","=""""","=""0.0000010""","="" 100                                            ""","=""L12547"""
"=""1s2.5g""","=""2G""","=""7/2,9/2""","=""""","=""1.2139305""","=""""","=""0.0000014""","="" 100                                            ""","=""L12547"""
"=""1s2.6s""","=""2S""","=""1/2""","=""[""","=""1.2604205""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6p""","=""2P*""","=""1/2""","=""[""","=""1.2670720""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6p""","=""2P*""","=""3/2""","=""[""","=""1.2670720""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6d""","=""2D""","=""3/2""","=""[""","=""1.2688322""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6d""","=""2D""","=""5/2""","=""[""","=""1.2688322""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6f""","=""2F*""","=""5/2""","=""[""","=""1.2689173""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6f""","=""2F*""","=""7/2""","=""[""","=""1.2689173""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6g""","=""2G""","=""7/2,9/2""","=""[""","=""1.2689261""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.6h""","=""2H*""","=""9/2,11/2""","=""[""","=""1.2689283""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7s""","=""2S""","=""1/2""","=""[""","=""1.2967779""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7p""","=""2P*""","=""1/2""","=""[""","=""1.3009216""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7p""","=""2P*""","=""3/2""","=""[""","=""1.3009216""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7d""","=""2D""","=""3/2,5/2""","=""[""","=""1.3020284""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7f""","=""2F*""","=""5/2""","=""[""","=""1.3020831""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7f""","=""2F*""","=""7/2""","=""[""","=""1.3020831""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7g""","=""2G""","=""7/2,9/2""","=""[""","=""1.3020888""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.7h""","=""2H*""","=""9/2,11/2""","=""[""","=""1.3020902""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8s""","=""2S""","=""1/2""","=""[""","=""1.3200768""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8p""","=""2P*""","=""1/2""","=""[""","=""1.3228311""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8p""","=""2P*""","=""3/2""","=""[""","=""1.3228311""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8d""","=""2D""","=""3/2,5/2""","=""[""","=""1.3235717""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8f""","=""2F*""","=""5/2""","=""[""","=""1.3236087""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8f""","=""2F*""","=""7/2""","=""[""","=""1.3236087""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8g""","=""2G""","=""7/2,9/2""","=""[""","=""1.3236126""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.8h""","=""2H*""","=""9/2,11/2""","=""[""","=""1.3236136""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9s""","=""2S""","=""1/2""","=""[""","=""1.3358977""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9p""","=""2P*""","=""1/2""","=""[""","=""1.3378206""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9p""","=""2P*""","=""3/2""","=""[""","=""1.3378206""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9d""","=""2D""","=""3/2,5/2""","=""[""","=""1.3383402""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9f""","=""2F*""","=""5/2""","=""[""","=""1.3383665""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9f""","=""2F*""","=""7/2""","=""[""","=""1.3383665""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9g""","=""2G""","=""7/2,9/2""","=""[""","=""1.3383693""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.9h""","=""2H*""","=""9/2,11/2""","=""[""","=""1.3383700""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.10d""","=""2D""","=""3/2,5/2""","=""[""","=""1.3489033""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.10f""","=""2F*""","=""5/2,7/2""","=""[""","=""1.3489226""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.10g""","=""2G""","=""7/2,9/2""","=""[""","=""1.3489246""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.10h""","=""2H*""","=""9/2,11/2""","=""[""","=""1.3489251""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.11d""","=""2D""","=""3/2,5/2""","=""[""","=""1.3567183""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""1s2.11f""","=""2F*""","=""5/2,7/2""","=""[""","=""1.3567328""","=""]""","=""0.0000018""","="" 100                                            ""","=""L12547"""
"=""B IV (1s2 1S<0>)""","=""Limit""","=""---""","=""""","=""1.393923""","=""""","=""0.000003""","=""                                                ""","=""L12547"""
"=""1s.2s2""","=""2S""","=""1/2""","=""""","=""7.0827""","=""""","=""0.0010""","=""  86         :    14  1s.2p2               2S   ""","=""L12547"""
"=""1s.2s.2p""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""7.157319""","=""""","=""0.00009""","="" 100                                            ""","=""L12547"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2,3/2""","=""""","=""7.3179""","=""""","=""0.0004""","=""  93         :     6  1s.(2S).2s2p.(1P*)   2P*  ""","=""L12547"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2,3/2""","=""""","=""7.4225""","=""""","=""0.0005""","=""  93         :     7  1s.(2S).2s2p.(3P*)   2P*  ""","=""L12547"""
"=""1s.2p2""","=""4P""","=""1/2,3/2,5/2""","=""""","=""7.425025""","=""""","=""0.000008""","="" 100                                            ""","=""L12547"""
"=""1s.2p2""","=""2D""","=""3/2,5/2""","=""""","=""7.50520""","=""""","=""0.00011""","=""  97                                            ""","=""L12547"""
"=""1s.2p2""","=""2P""","=""1/2,3/2""","=""""","=""7.54084""","=""""","=""0.00014""","="" 100                                            ""","=""L12547"""
"=""1s.2p2""","=""2S""","=""1/2""","=""[""","=""7.6820""","=""]""","=""0.0014""","=""  83         :    13  1s.2s2               2S   ""","=""L12547"""
"=""1s.2s.(3S).3s""","=""4S""","=""3/2""","=""""","=""8.035304""","=""""","=""0.000023""","=""  93         :     6  1s.2p.(3P*).3p       4S   ""","=""L12547"""
"=""1s.2s.(3S).3s""","=""2S""","=""1/2""","=""""","=""8.097""","=""""","=""0.009""","=""  90         :     9  1s.2p.(3P*).3p       2S   ""","=""L12547"""
"=""1s.2s.(3S).3p""","=""4P*""","=""3/2""","=""""","=""8.109637""","=""""","=""0.000023""","=""  98                                            ""","=""L12547"""
"=""1s.2s.(3S).3p""","=""4P*""","=""1/2""","=""""","=""8.109642""","=""""","=""0.000023""","=""  98                                            ""","=""L12547"""
"=""1s.2s.(3S).3p""","=""4P*""","=""5/2""","=""""","=""8.109672""","=""""","=""0.000023""","=""  98                                            ""","=""L12547"""
"=""1s.2s.(3S).3p""","=""2P*""","=""1/2,3/2""","=""""","=""8.113""","=""""","=""0.003""","=""  86         :    10  1s.2p.(3P*).3s       2P*  ""","=""L12547"""
"=""1s.2s.(3S).3d""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.153184""","=""""","=""0.000023""","=""  95         :     4  1s.2p.(3P*).3p       4D   ""","=""L12547"""
"=""1s.2s.(3S).3d""","=""2D""","=""3/2,5/2""","=""""","=""8.179""","=""""","=""0.007""","=""  95                                            ""","=""L12547"""
"=""1s.2s.(1S).3s""","=""2S""","=""1/2""","=""""","=""8.203""","=""""","=""0.007""","=""  89         :    10  1s.2p.(1P*).3p       2S   ""","=""L12547"""
"=""1s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""""","=""8.228117""","=""""","=""0.000018""","=""  98                                            ""","=""L12547"""
"=""1s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""[""","=""8.22817""","=""]""","=""0.00003""","=""  98                                            ""","=""L12547"""
"=""1s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""""","=""8.228289""","=""""","=""0.000023""","=""  98                                            ""","=""L12547"""
"=""1s.2s.(1S).3p""","=""2P*""","=""1/2,3/2""","=""""","=""8.246""","=""""","=""0.003""","=""  51         :    32  1s.2p.(3P*).3s       2P*  ""","=""L12547"""
"=""1s.2p.(3P*).3p""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.272057""","=""""","=""0.000023""","=""  95         :     4  1s.2s.(3S).3d        4D   ""","=""L12547"""
"=""1s.2p.(3P*).3p""","=""2P""","=""1/2,3/2""","=""""","=""8.275690""","=""""","=""0.00018""","=""  94         :     5  1s.2p.(1P*).3p       2P   ""","=""L12547"""
"=""1s.2p.(3P*).3s""","=""2P*""","=""1/2,3/2""","=""""","=""8.284""","=""""","=""0.007""","=""  53         :    34  1s.2s.(1S).3p        2P*  ""","=""L12547"""
"=""1s.2p.(3P*).3p""","=""4S""","=""3/2""","=""""","=""8.289281""","=""""","=""0.000018""","=""  87         :     6  1s.2s.(3S).3s        4S   ""","=""L12547"""
"=""1s.2p.(3P*).3p""","=""4P""","=""1/2,3/2,5/2""","=""""","=""8.300970""","=""""","=""0.000023""","="" 100                                            ""","=""L12547"""
"=""1s.2s.(1S).3d""","=""2D""","=""3/2,5/2""","=""""","=""8.3039""","=""""","=""0.0014""","=""  60         :    26  1s.2p.(3P*).3p       2D   ""","=""L12547"""
"=""1s.2p.(3P*).3d""","=""4F*""","=""3/2,5/2,7/2,9/2""","=""""","=""8.307184""","=""""","=""0.000023""","=""  94         :     5  1s.2s.(3S).4f        4F*  ""","=""L12547"""
"=""1s.2p.(3P*).3p""","=""2D""","=""3/2,5/2""","=""""","=""8.31463""","=""""","=""0.00018""","=""  68         :    28  1s.2s.(1S).3d        2D   ""","=""L12547"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""3/2,5/2""","=""""","=""8.318920""","=""""","=""0.00009""","=""  99                                            ""","=""L12547"""
