Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Reference
"=""6s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0""","=""""","=""L11975"""
"=""5d""","=""2D""","=""3/2""","=""""","=""0.02220690""","=""""","=""""","=""0.79""","=""L9224"""
"=""5d""","=""2D""","=""5/2""","=""""","=""0.02585632""","=""""","=""""","=""1.12""","=""L9224"""
"=""6p""","=""2P*""","=""1/2""","=""""","=""0.09231846""","=""""","=""""","=""""","=""L9224"""
"=""6p""","=""2P*""","=""3/2""","=""""","=""0.10002251""","=""""","=""""","=""1.32""","=""L9224"""
"=""7s""","=""2S""","=""1/2""","=""""","=""0.19298438""","=""""","=""""","=""1.98""","=""L9224"""
"=""6d""","=""2D""","=""3/2""","=""""","=""0.20936120""","=""""","=""""","=""0.79""","=""L9224"""
"=""6d""","=""2D""","=""5/2""","=""""","=""0.21029696""","=""""","=""""","=""1.18""","=""L9224"""
"=""4f""","=""2F*""","=""5/2""","=""""","=""0.21988244""","=""""","=""""","=""""","=""L9224"""
"=""4f""","=""2F*""","=""7/2""","=""""","=""0.22090631""","=""""","=""""","=""""","=""L9224"""
"=""7p""","=""2P*""","=""1/2""","=""""","=""0.22503659""","=""""","=""""","=""""","=""L9224"""
"=""7p""","=""2P*""","=""3/2""","=""""","=""0.22786843""","=""""","=""""","=""""","=""L9224"""
"=""5f""","=""2F*""","=""5/2""","=""""","=""0.26149228""","=""""","=""""","=""""","=""L9224"""
"=""5f""","=""2F*""","=""7/2""","=""""","=""0.26258952""","=""""","=""""","=""""","=""L9224"""
"=""8s""","=""2S""","=""1/2""","=""""","=""0.26438231""","=""""","=""""","=""""","=""L9224"""
"=""7d""","=""2D""","=""3/2""","=""""","=""0.27247001""","=""""","=""""","=""""","=""L9224"""
"=""7d""","=""2D""","=""5/2""","=""""","=""0.27290137""","=""""","=""""","=""""","=""L9224"""
"=""8p""","=""2P*""","=""1/2""","=""""","=""0.279483""","=""""","=""""","=""""","=""L3726"""
"=""8p""","=""2P*""","=""3/2""","=""""","=""0.280862""","=""""","=""""","=""""","=""L3726"""
"=""5g""","=""2G""","=""7/2""","=""""","=""0.28717089""","=""u""","=""""","=""""","=""L9224"""
"=""5g""","=""2G""","=""9/2""","=""""","=""0.28717089""","=""u""","=""""","=""""","=""L9224"""
"=""6f""","=""2F*""","=""5/2""","=""""","=""0.2943225""","=""""","=""""","=""""","=""L6094"""
"=""6f""","=""2F*""","=""7/2""","=""""","=""0.2947816""","=""""","=""""","=""""","=""L6094"""
"=""9s""","=""2S""","=""1/2""","=""""","=""0.29927671""","=""""","=""""","=""""","=""L9224"""
"=""8d""","=""2D""","=""3/2""","=""""","=""0.30378751""","=""""","=""""","=""""","=""L9224"""
"=""8d""","=""2D""","=""5/2""","=""""","=""0.30402416""","=""""","=""""","=""""","=""L9224"""
"=""9p""","=""2P*""","=""1/2""","=""""","=""0.307604""","=""""","=""""","=""""","=""L3726"""
"=""9p""","=""2P*""","=""3/2""","=""""","=""0.308379""","=""""","=""""","=""""","=""L3726"""
"=""6g""","=""2G""","=""7/2""","=""""","=""0.31177223""","=""u""","=""""","=""""","=""L9224"""
"=""6g""","=""2G""","=""9/2""","=""""","=""0.31177223""","=""u""","=""""","=""""","=""L9224"""
"=""7f""","=""2F*""","=""5/2""","=""""","=""0.3153519""","=""""","=""""","=""""","=""L6094"""
"=""7f""","=""2F*""","=""7/2""","=""""","=""0.3155739""","=""""","=""""","=""""","=""L6094"""
"=""10s""","=""2S""","=""1/2""","=""""","=""0.31900992""","=""""","=""""","=""""","=""L9224"""
"=""9d""","=""2D""","=""3/2""","=""""","=""0.32176952""","=""""","=""""","=""""","=""L9224"""
"=""9d""","=""2D""","=""5/2""","=""""","=""0.32191377""","=""""","=""""","=""""","=""L9224"""
"=""10p""","=""2P*""","=""1/2""","=""""","=""0.324091""","=""""","=""""","=""""","=""L3726"""
"=""10p""","=""2P*""","=""3/2""","=""""","=""0.324571""","=""""","=""""","=""""","=""L3726"""
"=""7g""","=""2G""","=""7/2""","=""""","=""0.32661006""","=""u""","=""""","=""""","=""L9224"""
"=""7g""","=""2G""","=""9/2""","=""""","=""0.32661006""","=""u""","=""""","=""""","=""L9224"""
"=""8f""","=""2F*""","=""5/2""","=""""","=""0.3287066""","=""""","=""""","=""""","=""L6094"""
"=""8f""","=""2F*""","=""7/2""","=""""","=""0.3288316""","=""""","=""""","=""""","=""L6094"""
"=""11s""","=""2S""","=""1/2""","=""""","=""0.3312696""","=""""","=""""","=""""","=""L6094"""
"=""10d""","=""2D""","=""3/2""","=""""","=""0.3330753""","=""""","=""""","=""""","=""L6094"""
"=""10d""","=""2D""","=""5/2""","=""""","=""0.3331699""","=""""","=""""","=""""","=""L6094"""
"=""11p""","=""2P*""","=""1/2""","=""""","=""0.334599""","=""""","=""""","=""""","=""L3726"""
"=""11p""","=""2P*""","=""3/2""","=""""","=""0.334921""","=""""","=""""","=""""","=""L3726"""
"=""8g""","=""2G""","=""7/2""","=""""","=""0.3362387""","=""u""","=""""","=""""","=""L6094"""
"=""8g""","=""2G""","=""9/2""","=""""","=""0.3362387""","=""u""","=""""","=""""","=""L6094"""
"=""9f""","=""2F*""","=""5/2""","=""""","=""0.3375837""","=""""","=""""","=""""","=""L6094"""
"=""9f""","=""2F*""","=""7/2""","=""""","=""0.3376651""","=""""","=""""","=""""","=""L6094"""
"=""12s""","=""2S""","=""1/2""","=""""","=""0.3394088""","=""""","=""""","=""""","=""L6094"""
"=""11d""","=""2D""","=""3/2""","=""""","=""0.3406567""","=""""","=""""","=""""","=""L6094"""
