Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""1s2.2s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.0000014""","="" 100                                           ""","=""L12158"""
"=""1s2.2p""","=""2P*""","=""1/2""","=""""","=""0.14547806""","=""""","=""0.0000014""","="" 100                                           ""","=""L12158"""
"=""1s2.2p""","=""2P*""","=""3/2""","=""""","=""0.14550802""","=""""","=""0.0000014""","="" 100                                           ""","=""L12158"""
"=""1s2.3s""","=""2S""","=""1/2""","=""""","=""0.40201418""","=""""","=""0.00000000""","="" 100                                           ""","=""L12158"""
"=""1s2.3p""","=""2P*""","=""1/2""","=""""","=""0.43966521""","=""""","=""0.00000006""","="" 100                                           ""","=""L12158"""
"=""1s2.3p""","=""2P*""","=""3/2""","=""""","=""0.43967400""","=""""","=""0.00000006""","="" 100                                           ""","=""L12158"""
"=""1s2.3d""","=""2D""","=""3/2""","=""""","=""0.4467695""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.3d""","=""2D""","=""5/2""","=""""","=""0.4467719""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.4s""","=""2S""","=""1/2""","=""""","=""0.5260947""","=""""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.4p""","=""2P*""","=""1/2""","=""""","=""0.5411127""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.4p""","=""2P*""","=""3/2""","=""""","=""0.5411164""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.4d""","=""2D""","=""3/2""","=""""","=""0.5441230""","=""""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.4d""","=""2D""","=""5/2""","=""""","=""0.5441241""","=""""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.4f""","=""2F*""","=""5/2""","=""""","=""0.5442387""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.4f""","=""2F*""","=""7/2""","=""""","=""0.5442393""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.5s""","=""2S""","=""1/2""","=""""","=""0.5801815""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.5p""","=""2P*""","=""1/2""","=""""","=""0.5876379""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.5p""","=""2P*""","=""3/2""","=""""","=""0.5876399""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.5d""","=""2D""","=""3/2""","=""""","=""0.5891803""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.5d""","=""2D""","=""5/2""","=""""","=""0.5891809""","=""""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.5f""","=""2F*""","=""5/2""","=""""","=""0.5892428""","=""""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.5f""","=""2F*""","=""7/2""","=""""","=""0.5892431""","=""""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.5g""","=""2G""","=""9/2""","=""""","=""0.5892502""","=""""","=""0.0000006""","="" 100                                           ""","=""L12158"""
"=""1s2.5g""","=""2G""","=""7/2""","=""""","=""0.5892502""","=""""","=""0.0000006""","="" 100                                           ""","=""L12158"""
"=""1s2.6s""","=""2S""","=""1/2""","=""""","=""0.6085279""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.6p""","=""2P*""","=""1/2""","=""""","=""0.6127604""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.6p""","=""2P*""","=""3/2""","=""""","=""0.6127615""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.6d""","=""2D""","=""5/2""","=""""","=""0.6136525""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.6d""","=""2D""","=""3/2""","=""""","=""0.6136525""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.6f""","=""2F*""","=""5/2""","=""""","=""0.6136892""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.6f""","=""2F*""","=""7/2""","=""""","=""0.6136893""","=""""","=""0.0000005""","="" 100                                           ""","=""L12158"""
