Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Reference
"=""3p6.4s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""L7185"""
"=""3p6.3d""","=""2D""","=""3/2""","=""""","=""0.0621948""","=""""","=""""","="""""
"=""3p6.3d""","=""2D""","=""5/2""","=""""","=""0.0624714""","=""""","=""""","="""""
"=""3p6.4p""","=""2P*""","=""1/2""","=""""","=""0.1147810""","=""""","=""""","="""""
"=""3p6.4p""","=""2P*""","=""3/2""","=""""","=""0.1157965""","=""""","=""""","="""""
"=""3p6.5s""","=""2S""","=""1/2""","=""""","=""0.2376900""","=""""","=""""","="""""
"=""3p6.4d""","=""2D""","=""3/2""","=""""","=""0.2589787""","=""""","=""""","="""""
"=""3p6.4d""","=""2D""","=""5/2""","=""""","=""0.2590662""","=""""","=""""","="""""
"=""3p6.5p""","=""2P*""","=""1/2""","=""""","=""0.2758087""","=""""","=""""","="""""
"=""3p6.5p""","=""2P*""","=""3/2""","=""""","=""0.2761653""","=""""","=""""","="""""
"=""3p6.4f""","=""2F*""","=""5/2""","=""""","=""0.3100901""","=""""","=""""","="""""
"=""3p6.4f""","=""2F*""","=""7/2""","=""""","=""0.3100901""","=""""","=""""","="""""
"=""3p6.6s""","=""2S""","=""1/2""","=""""","=""0.3220309""","=""""","=""""","="""""
"=""3p6.5d""","=""2D""","=""3/2""","=""""","=""0.3313469""","=""""","=""""","="""""
"=""3p6.5d""","=""2D""","=""5/2""","=""""","=""0.3313865""","=""""","=""""","="""""
"=""3p6.6p""","=""2P*""","=""1/2""","=""""","=""0.3393783""","=""""","=""""","="""""
"=""3p6.6p""","=""2P*""","=""3/2""","=""""","=""0.3395461""","=""""","=""""","="""""
"=""3p6.5f""","=""2F*""","=""5/2""","=""""","=""0.3555508""","=""""","=""""","="""""
"=""3p6.5f""","=""2F*""","=""7/2""","=""""","=""0.3555508""","=""""","=""""","="""""
"=""3p6.5g""","=""2G""","=""7/2""","=""""","=""0.3561447""","=""""","=""""","="""""
"=""3p6.5g""","=""2G""","=""9/2""","=""""","=""0.3561447""","=""""","=""""","="""""
"=""3p6.7s""","=""2S""","=""1/2""","=""""","=""0.3619930""","=""""","=""""","="""""
"=""3p6.6d""","=""2D""","=""3/2""","=""""","=""0.3668831""","=""""","=""""","="""""
"=""3p6.6d""","=""2D""","=""5/2""","=""""","=""0.3669042""","=""""","=""""","="""""
"=""3p6.6f""","=""2F*""","=""5/2""","=""""","=""0.3802630""","=""""","=""""","="""""
"=""3p6.6f""","=""2F*""","=""7/2""","=""""","=""0.3802630""","=""""","=""""","="""""
"=""3p6.6g""","=""2G""","=""7/2""","=""""","=""0.3806362""","=""""","=""""","="""""
"=""3p6.6g""","=""2G""","=""9/2""","=""""","=""0.3806362""","=""""","=""""","="""""
"=""3p6.8s""","=""2S""","=""1/2""","=""""","=""0.3841031""","=""""","=""""","="""""
"=""3p6.7d""","=""2D""","=""3/2""","=""""","=""0.3869862""","=""""","=""""","="""""
