Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0""","=""2.00""","=""                                                    ""","=""L10559"""
"=""3d9.4s2""","=""2D""","=""5/2""","=""""","=""0.05104288""","=""""","=""0.00000010""","=""1.23""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s2""","=""2D""","=""3/2""","=""""","=""0.06035068""","=""""","=""0.00000009""","=""0.80""","=""                                                    ""","=""L10559c152"""
"=""3d10.4p""","=""2P*""","=""1/2""","=""""","=""0.13912917""","=""""","=""0.00000009""","=""0.68""","=""  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  ""","=""L10559c152"""
"=""3d10.4p""","=""2P*""","=""3/2""","=""""","=""0.14026084""","=""""","=""0.00000008""","=""1.33""","=""  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""""","=""0.17778223""","=""""","=""0.00000014""","=""1.600""","=""  98                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""""","=""0.18277288""","=""""","=""0.00000014""","=""1.75""","=""  96                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""","=""""","=""0.18655359""","=""""","=""0.00000014""","=""2.62""","=""  97                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""9/2""","=""""","=""0.18639585""","=""""","=""0.00000023""","=""1.3340""","="" 100                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""","=""""","=""0.18750901""","=""""","=""0.00000014""","=""1.26""","=""  89             :     8  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""","=""""","=""0.18937464""","=""""","=""0.00000014""","=""""","=""  81             :    16  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""","=""""","=""0.19274474""","=""""","=""0.00000014""","=""0.44""","=""  95                                                ""","=""L10559c152"""
"=""3d10.5s""","=""2S""","=""1/2""","=""""","=""0.19654768""","=""""","=""0.00000008""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""7/2""","=""""","=""0.19826442""","=""""","=""0.00000014""","=""1.45""","=""  87             :    11  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""5/2""","=""""","=""0.20233008""","=""""","=""0.00000014""","=""1.43""","=""  43             :    33  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""","=""""","=""0.20295813""","=""""","=""0.00000014""","=""1.09""","=""  65             :    26  3d9.(2D).4s.4p.(3P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""","=""""","=""0.20465090""","=""""","=""0.00000018""","=""0.00""","=""  64             :    33  3d9.(2D).4s.4p.(3P*) 2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""5/2""","=""""","=""0.19923141""","=""""","=""0.00000014""","=""""","=""  51             :    38  3d9.(2D).4s.4p.(3P*) 4D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""","=""""","=""0.20486769""","=""""","=""0.00000014""","=""1.22""","=""  78             :    11  3d9.(2D).4s.4p.(3P*) 4F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""","=""""","=""0.20877556""","=""""","=""0.00000014""","=""""","=""  65             :    33  3d9.(2D).4s.4p.(3P*) 4D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""3/2""","=""""","=""0.20904156""","=""""","=""0.00000014""","=""1.22""","=""  55             :    35  3d9.(2D).4s.4p.(3P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""*""","=""3/2""","=""""","=""0.21037917""","=""""","=""0.00000014""","=""0.69""","=""  40  2P*        :    36  3d9.(2D).4s.4p.(3P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2D*""","=""5/2""","=""""","=""0.21231770""","=""""","=""0.00000014""","=""1.22""","=""  83             :    15  3d9.(2D).4s.4p.(3P*) 4D*  ""","=""L10559c152"""
"=""3d10.5p""","=""2P*""","=""3/2""","=""""","=""0.22500525""","=""""","=""0.00000008""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5p""","=""2P*""","=""1/2""","=""""","=""0.22500671""","=""""","=""0.00000003""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.4d""","=""2D""","=""3/2""","=""""","=""0.22752149""","=""""","=""0.00000006""","=""0.82""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.4d""","=""2D""","=""5/2""","=""""","=""0.22755273""","=""""","=""0.00000006""","=""1.19""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.6s""","=""2S""","=""1/2""","=""""","=""0.240796627""","=""""","=""0.000000014""","=""1.99""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.6p""","=""2P*""","=""3/2""","=""""","=""0.249614567""","=""""","=""0.000000023""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.6p""","=""2P*""","=""1/2""","=""""","=""0.25072493""","=""""","=""0.00000003""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5d""","=""2D""","=""3/2""","=""""","=""0.252364780""","=""""","=""0.000000023""","=""0.77""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.5d""","=""2D""","=""5/2""","=""""","=""0.252381319""","=""""","=""0.000000023""","=""1.22""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.4f""","=""2F*""","=""7/2""","=""""","=""0.252541052""","=""""","=""0.00000006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.4f""","=""2F*""","=""5/2""","=""""","=""0.252554564""","=""""","=""0.00000006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""7/2""","=""""","=""0.2552910""","=""""","=""0.0000003""","=""""","=""  94             :     2  3d8.(3F).4s2.4p      2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""5/2""","=""""","=""0.2648113""","=""""","=""0.0000003""","=""""","=""  80             :    14  3d9.(2D).4s.4p.(1P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""","=""""","=""0.25672042""","=""""","=""0.00000023""","=""""","=""  92             :     4  3d8.(3P).4s2.4p      2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""","=""""","=""0.2659290""","=""""","=""0.0000003""","=""""","=""  96             :     4  3d8.(3P).4s2.4p      2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""","=""""","=""0.25812282""","=""""","=""0.00000018""","=""1.17""","=""  75             :    15  3d9.(2D).4s.4p.(1P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""3/2""","=""""","=""0.26741546""","=""""","=""0.00000023""","=""""","=""  87             :     6  3d8.(3F).4s2.4p      2D*  ""","=""L10559c152"""
"=""3d10.7s""","=""2S""","=""1/2""","=""""","=""0.25821379""","=""""","=""0.00000006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.7p""","=""2P*""","=""1/2""","=""""","=""0.26162131""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.7p""","=""2P*""","=""3/2""","=""""","=""0.26403310""","=""""","=""0.00000008""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.6d""","=""2D""","=""3/2""","=""""","=""0.26377989""","=""""","=""0.00000004""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.6d""","=""2D""","=""5/2""","=""""","=""0.26378914""","=""""","=""0.00000005""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5f""","=""2F*""","=""5/2""","=""""","=""0.26383513""","=""""","=""0.00000003""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5f""","=""2F*""","=""7/2""","=""""","=""0.26386810""","=""""","=""0.00000003""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5g""","=""2G""","=""9/2""","=""""","=""0.26392175""","=""""","=""0.00000006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5g""","=""2G""","=""7/2""","=""""","=""0.26392175""","=""""","=""0.00000006""","=""""","=""                                                    ""","=""L18473c152"""
