Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""                                                    ""","=""L12180"""
"=""3d10.4p""","=""2P*""","=""1/2""","=""""","=""0.2969336""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.4p""","=""2P*""","=""3/2""","=""""","=""0.3047625""","=""""","=""""","=""                                                    ""","="""""
"=""3d9.4s2""","=""2D""","=""5/2""","=""""","=""0.5941259""","=""""","=""""","=""                                                    ""","="""""
"=""3d9.4s2""","=""2D""","=""3/2""","=""""","=""0.6101024""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5s""","=""2S""","=""1/2""","=""""","=""0.6412898""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.4d""","=""2D""","=""3/2""","=""""","=""0.6565062""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.4d""","=""2D""","=""5/2""","=""""","=""0.6570248""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5p""","=""2P*""","=""1/2""","=""""","=""0.7325018""","=""""","=""""","="" 100                                                ""","="""""
"=""3d10.5p""","=""2P*""","=""3/2""","=""""","=""0.7349569""","=""""","=""""","="" 100                                                ""","="""""
"=""3d10.4f""","=""2F*""","=""5/2""","=""""","=""0.8448930""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.4f""","=""2F*""","=""7/2""","=""""","=""0.8449227""","=""""","=""""","=""                                                    ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""""","=""0.85023""","=""""","=""""","=""  96                                                ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""","=""""","=""0.85793""","=""""","=""""","=""  98                                                ""","="""""
"=""3d10.6s""","=""2S""","=""1/2""","=""""","=""0.8546159""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5d""","=""2D""","=""3/2""","=""""","=""0.8620027""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5d""","=""2D""","=""5/2""","=""""","=""0.8622891""","=""""","=""""","=""                                                    ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""","=""""","=""0.866753""","=""""","=""""","=""  97                                                ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""","=""""","=""0.888727""","=""""","=""""","=""  60             :    28  3d9.(2D).4s.4p.(3P*) 2D*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""","=""""","=""0.897720""","=""""","=""""","=""  27             :    45  3d9.(2D).4s.4p.(3P*) 2P*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""","=""""","=""0.89142""","=""""","=""""","=""  52             :    32  3d9.(2D).4s.4p.(3P*) 4D*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""3/2""","=""""","=""0.897550""","=""""","=""""","=""  50             :    46  3d10.6p              2P*  ""","="""""
"=""3d10.6p""","=""2P*""","=""3/2""","=""""","=""0.893833""","=""""","=""""","=""  54             :    40  3d9.(2D).4s.4p.(3P*) 2P*  ""","="""""
"=""3d10.6p""","=""2P*""","=""1/2""","=""""","=""0.894521""","=""""","=""""","=""  58             :    40  3d9.(2D).4s.4p.(3P*) 4D*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""2D*""","=""3/2""","=""""","=""0.9012""","=""""","=""""","=""  70             :    28  3d9.(2D).4s.4p.(3P*) 4D*  ""","="""""
"=""3d10.5f""","=""2F*""","=""7/2""","=""""","=""0.9473008""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5f""","=""2F*""","=""5/2""","=""""","=""0.9473478""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5g""","=""2G""","=""7/2""","=""""","=""0.9488750""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.5g""","=""2G""","=""9/2""","=""""","=""0.9488757""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.7s""","=""2S""","=""1/2""","=""""","=""0.9529485""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.6d""","=""2D""","=""3/2""","=""""","=""0.9569221""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.6d""","=""2D""","=""5/2""","=""""","=""0.9570749""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.7p""","=""2P*""","=""1/2""","=""""","=""0.97385""","=""""","=""""","="" 100                                                ""","="""""
"=""3d10.7p""","=""2P*""","=""3/2""","=""""","=""0.973962""","=""""","=""""","=""  99                                                ""","="""""
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""7/2""","=""""","=""0.9918204""","=""""","=""""","="" 100                                                ""","="""""
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""5/2""","=""""","=""1.0016405""","=""""","=""""","=""  85             :    15  3d9.(2D).4s.4p.(1P*) 2D*  ""","="""""
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""","=""""","=""0.9923267""","=""""","=""""","=""  88             :    11  3d9.(2D).4s.4p.(1P*) 2D*  ""","="""""
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""","=""""","=""1.0063102""","=""""","=""""","="" 100                                                ""","="""""
"=""3d10.6g""","=""2G""","=""7/2""","=""""","=""1.0039732""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.6g""","=""2G""","=""9/2""","=""""","=""1.0039737""","=""""","=""""","=""                                                    ""","="""""
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""","=""""","=""1.0043868""","=""""","=""""","=""  85             :    15  3d9.(2D).4s.4p.(1P*) 2F*  ""","="""""
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""3/2""","=""""","=""1.0119400""","=""""","=""""","=""  89             :    11  3d9.(2D).4s.4p.(1P*) 2P*  ""","="""""
"=""3d10.8p""","=""2P*""","=""3/2""","=""""","=""1.022027""","=""""","=""""","="" 100                                                ""","="""""
"=""3d10.7g""","=""2G""","=""7/2""","=""""","=""1.037191""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.7g""","=""2G""","=""9/2""","=""""","=""1.037191""","=""""","=""""","=""                                                    ""","="""""
"=""3d10.9p""","=""2P*""","=""3/2""","=""""","=""1.04909""","=""""","=""""","="" 100                                                ""","="""""
"=""Ga IV (3d10 1S<0>)""","=""Limit""","=""---""","=""""","=""1.129151""","=""""","=""0.000009""","=""                                                    ""","=""L6636"""
"=""3d9.(2D).4p2.(1D)""","=""2S""","=""1/2""","=""""","=""1.21112""","=""""","=""""","=""  49                                                ""","="""""
"=""3d9.(2D).4p2.(1D)""","=""2P""","=""3/2""","=""""","=""1.21589""","=""""","=""""","=""  53                                                ""","="""""
"=""3d9.(2D).4p2.(1D)""","=""2P""","=""1/2""","=""""","=""1.22832""","=""""","=""""","=""  44                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""4D""","=""5/2""","=""""","=""1.23016""","=""""","=""""","=""  62                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""4D""","=""3/2""","=""""","=""1.23273""","=""""","=""""","=""  67                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""4P""","=""5/2""","=""""","=""1.25780""","=""""","=""""","=""  86                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""4P""","=""3/2""","=""""","=""1.26738""","=""""","=""""","=""  75                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""4P""","=""1/2""","=""""","=""1.27325""","=""""","=""""","=""  68                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""2D""","=""3/2""","=""""","=""1.2619""","=""""","=""""","=""  47  4F                                            ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""2D""","=""5/2""","=""""","=""1.2698""","=""""","=""""","=""  65                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""4F""","=""3/2""","=""""","=""1.2633""","=""""","=""""","=""  50                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""2P""","=""1/2""","=""""","=""1.28078""","=""""","=""""","=""  66                                                ""","="""""
"=""3d9.(2D).4p2.(3P)""","=""2P""","=""3/2""","=""""","=""1.2833""","=""""","=""""","=""  76                                                ""","="""""
"=""3d9.(2D).4p2.(1S)""","=""2D""","=""5/2""","=""""","=""1.35447""","=""?""","=""""","=""  90                                                ""","="""""
