Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Reference
"=""4d10.5s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""L3466"""
"=""4d10.5p""","=""2P*""","=""1/2""","=""""","=""0.260536""","=""""","=""""","="""""
"=""4d10.5p""","=""2P*""","=""3/2""","=""""","=""0.280320""","=""""","=""""","="""""
"=""4d9.5s2""","=""2D""","=""5/2""","=""""","=""0.526570""","=""""","=""""","="""""
"=""4d9.5s2""","=""2D""","=""3/2""","=""""","=""0.557763""","=""""","=""""","="""""
"=""4d10.6s""","=""2S""","=""1/2""","=""""","=""0.578081""","=""""","=""""","="""""
"=""4d10.5d""","=""2D""","=""3/2""","=""""","=""0.585274""","=""""","=""""","="""""
"=""4d10.5d""","=""2D""","=""5/2""","=""""","=""0.586594""","=""""","=""""","="""""
"=""4d10.6p""","=""2P*""","=""1/2""","=""""","=""0.658771""","=""""","=""""","="""""
"=""4d10.6p""","=""2P*""","=""3/2""","=""""","=""0.664872""","=""""","=""""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""""","=""0.72367""","=""?""","=""""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""","=""""","=""0.76377""","=""?""","=""""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""1/2""","=""""","=""0.782634""","=""?""","=""""","="""""
"=""4d10.4f""","=""2F*""","=""5/2""","=""""","=""0.737984""","=""""","=""""","="""""
"=""4d10.4f""","=""2F*""","=""3/2""","=""""","=""0.738021""","=""""","=""""","="""""
"=""4d10.7s""","=""2S""","=""1/2""","=""""","=""0.771979""","=""""","=""""","="""""
"=""4d10.6d""","=""2D""","=""3/2""","=""""","=""0.777000""","=""""","=""""","="""""
"=""4d10.6d""","=""2D""","=""5/2""","=""""","=""0.777836""","=""""","=""""","="""""
"=""4d10.7p""","=""2P*""","=""1/2""","=""""","=""0.822654""","=""?""","=""""","="""""
"=""4d10.7p""","=""2P*""","=""3/2""","=""""","=""0.825384""","=""?""","=""""","="""""
"=""4d10.5g""","=""2G""","=""7/2,9/2""","=""""","=""0.849857""","=""""","=""""","="""""
"=""4d10.8s""","=""2S""","=""1/2""","=""""","=""0.862831""","=""""","=""""","="""""
"=""4d10.7d""","=""2D""","=""3/2""","=""""","=""0.865856""","=""""","=""""","="""""
"=""4d10.7d""","=""2D""","=""5/2""","=""""","=""0.866305""","=""""","=""""","="""""
"=""4d10.6g""","=""2G""","=""7/2,9/2""","=""""","=""0.905106""","=""""","=""""","="""""
"=""4d10.9s""","=""2S""","=""1/2""","=""""","=""0.916502""","=""?""","=""""","="""""
"=""4d10.7g""","=""2G""","=""7/2,9/2""","=""""","=""0.938429""","=""""","=""""","="""""
"=""In IV (4d10 1S<0>)""","=""Limit""","=""---""","=""""","=""1.030603""","=""""","=""0.000005""","=""L4327"""
