Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""                                                    ""","=""L4995"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""0.1625213""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""0.1629386""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""0.3180548""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""0.3257333""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""0.3257372""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""0.3673295""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""0.3674685""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""0.4227847""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""0.4251543""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""0.4251567""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""0.4273826""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""0.4273831""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""0.4440382""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""0.4441011""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","=""""","=""0.4701990""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""0.4712148""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""0.4712162""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","=""""","=""0.4724458""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""0.4724460""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5g""","=""2G""","=""7/2""","=""""","=""0.4725178""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.5g""","=""2G""","=""9/2""","=""""","=""0.4725178""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""","=""""","=""0.4812508""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""","=""""","=""0.4812844""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.7s""","=""2S""","=""1/2""","=""""","=""0.4956579""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6d""","=""2D""","=""5/2""","=""""","=""0.4961850""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6d""","=""2D""","=""3/2""","=""""","=""0.4961858""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""","=""""","=""0.4969245""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""","=""""","=""0.4969246""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6g""","=""2G""","=""7/2""","=""""","=""0.4969688""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6g""","=""2G""","=""9/2""","=""""","=""0.4969688""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""","=""""","=""0.4969776""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""","=""""","=""0.4969776""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.7p""","=""2P*""","=""1/2""","=""""","=""0.5021245""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.7p""","=""2P*""","=""3/2""","=""""","=""0.5021445""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.8s""","=""2S""","=""1/2""","=""""","=""0.5108982""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.7d""","=""2D""","=""5/2""","=""""","=""0.5112074""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.7d""","=""2D""","=""3/2""","=""""","=""0.5112079""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.7f""","=""2F*""","=""5/2""","=""""","=""0.5116831""","=""""","=""""","=""                                                    ""","="""""
