Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Reference
"=""7s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0""","=""L19486"""
"=""6d""","=""2D""","=""3/2""","=""""","=""0.055059995""","=""""","=""0.000000005""","=""L19486"""
"=""6d""","=""2D""","=""5/2""","=""""","=""0.06261767""","=""""","=""0.00000014""","=""L19486"""
"=""7p""","=""2P*""","=""1/2""","=""""","=""0.097283799""","=""""","=""0.000000004""","=""L19486"""
"=""7p""","=""2P*""","=""3/2""","=""""","=""0.119416325""","=""""","=""0.000000010""","=""L19486"""
"=""8s""","=""2S""","=""1/2""","=""""","=""0.19776796""","=""""","=""0.00000023""","=""L19486"""
"=""7d""","=""2D""","=""3/2""","=""""","=""0.2220942""","=""""","=""0.0000005""","=""L19486"""
"=""7d""","=""2D""","=""5/2""","=""""","=""0.2243560""","=""""","=""0.0000018""","=""L19486"""
"=""5f""","=""2F*""","=""5/2""","=""""","=""0.2232051""","=""""","=""0.0000007""","=""L19486"""
"=""5f""","=""2F*""","=""7/2""","=""""","=""0.2245004""","=""""","=""0.0000007""","=""L19486"""
"=""8p""","=""2P*""","=""1/2""","=""""","=""0.2305792""","=""""","=""0.0000010""","=""L19486"""
"=""8p""","=""2P*""","=""3/2""","=""""","=""0.2387156""","=""""","=""0.0000009""","=""L19486"""
"=""9s""","=""2S""","=""1/2""","=""""","=""0.2695769""","=""""","=""0.0000014""","=""L19486"""
"=""6f""","=""2F*""","=""5/2""","=""""","=""0.271179""","=""""","=""0.000023""","=""L19486"""
"=""6f""","=""2F*""","=""7/2""","=""""","=""0.272533""","=""""","=""0.000018""","=""L19486"""
"=""8d""","=""2D""","=""3/2""","=""""","=""0.2812854""","=""""","=""0.0000023""","=""L19486"""
"=""8d""","=""2D""","=""5/2""","=""""","=""0.282373""","=""""","=""0.000004""","=""L19486"""
"=""9p""","=""2P*""","=""3/2""","=""""","=""0.2889192""","=""""","=""0.0000010""","=""L19486"""
"=""5g""","=""2G""","=""7/2,9/2""","=""""","=""0.2922911""","=""""","=""0.0000007""","=""L19486"""
"=""7f""","=""2F*""","=""5/2""","=""""","=""0.3030959""","=""""","=""0.0000011""","=""L19486"""
"=""7f""","=""2F*""","=""7/2""","=""""","=""0.3038674""","=""""","=""0.0000018""","=""L19486"""
"=""10s""","=""2S""","=""1/2""","=""""","=""0.3045396""","=""""","=""0.0000010""","=""L19486"""
"=""9d""","=""2D""","=""3/2""","=""""","=""0.3110340""","=""""","=""0.0000010""","=""L19486"""
"=""9d""","=""2D""","=""5/2""","=""""","=""0.3116300""","=""""","=""0.0000010""","=""L19486"""
"=""6g""","=""2G""","=""7/2,9/2""","=""""","=""0.3169418""","=""""","=""0.0000010""","=""L19486"""
"=""11s""","=""2S""","=""1/2""","=""""","=""0.3242875""","=""""","=""0.0000014""","=""L19486"""
"=""10d""","=""2D""","=""3/2""","=""""","=""0.3282536""","=""""","=""0.0000014""","=""L19486"""
"=""10d""","=""2D""","=""5/2""","=""""","=""0.3286199""","=""""","=""0.0000014""","=""L19486"""
"=""7g""","=""2G""","=""7/2,9/2""","=""""","=""0.3318115""","=""""","=""0.0000009""","=""L19486"""
"=""11d""","=""2D""","=""3/2""","=""""","=""0.3391476""","=""""","=""0.0000014""","=""L19486"""
"=""11d""","=""2D""","=""5/2""","=""""","=""0.339397""","=""""","=""0.000023""","=""L19486"""
"=""8g""","=""2G""","=""7/2,9/2""","=""""","=""0.3414598""","=""""","=""0.0000010""","=""L19486"""
"=""12d""","=""2D""","=""5/2""","=""""","=""0.3466491""","=""""","=""0.0000014""","=""L19486"""
"=""9g""","=""2G""","=""7/2,9/2""","=""""","=""0.3480718""","=""""","=""0.0000010""","=""L19486"""
"=""10g""","=""2G""","=""7/2,9/2""","=""""","=""0.352803""","=""""","=""0.000005""","=""L19486"""
"=""11g""","=""2G""","=""7/2,9/2""","=""""","=""0.356283""","=""""","=""0.000009""","=""L19486"""
"=""Ra III (6p6 1S<0>)""","=""Limit""","=""---""","=""""","=""0.3729019""","=""""","=""0.0000023""","=""L19486"""
