Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""5d10.6s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""                                                            ""","=""L3138"""
"=""5d10.6p""","=""2P*""","=""1/2""","=""""","=""0.292329""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.6p""","=""2P*""","=""3/2""","=""""","=""0.359833""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s2""","=""2D""","=""5/2""","=""""","=""0.303186""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s2""","=""2D""","=""3/2""","=""""","=""0.385449""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<0>)""","=""(5/2,0)*""","=""5/2""","=""""","=""0.552837""","=""""","=""""","=""  68         :    27  5d9.(2D<5/2>).6s.6p.(3P*<1>) (5/2,1)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)*""","=""7/2""","=""""","=""0.577664""","=""""","=""""","=""  90                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)*""","=""5/2""","=""""","=""0.580373""","=""""","=""""","=""  63         :    29  5d9.(2D<5/2>).6s.6p.(3P*<0>) (5/2,0)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)*""","=""3/2""","=""""","=""0.588511""","=""""","=""""","=""  81                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""9/2""","=""""","=""0.627631""","=""""","=""""","="" 100                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""5/2""","=""""","=""0.651156""","=""""","=""""","=""  84                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""3/2""","=""""","=""0.652223""","=""""","=""""","=""  44         :    40  5d9.(2D<3/2>).6s.6p.(3P*<0>) (3/2,0)* ""","=""L3138,L418"""
